move,centrality,double,distance,mobility
4,0.0,0.0,0.0,0.06451612903225806
5,0.0,0.8,0.0,0.3695652173913043
6,0.0,-0.18181818181818182,0.0,-0.045454545454545456
7,-0.015625,-0.4444444444444444,2.0,-0.1694915254237288
8,0.015625,-0.375,0.0,-0.09259259259259259
9,0.046875,-0.375,2.0,-0.18
10,0.03125,0.0,0.0,0.0
11,0.03125,-0.6666666666666666,2.0,-0.17142857142857143
12,0.015625,-0.6666666666666666,1.0,-0.19444444444444445
13,0.015625,0.5,1.0,0.24561403508771928
14,0.015625,-0.0625,1.0,0.0
15,0.015625,-0.16,3.0,-0.05063291139240506
16,0.015625,0.3125,-3.0,0.15384615384615385
17,0.046875,0.17391304347826086,-1.0,0.10294117647058823
18,0.03125,0.2777777777777778,-5.0,0.1694915254237288
19,0.03125,-0.08333333333333333,1.0,0.07547169811320754
20,0.0625,0.08333333333333333,-1.0,0.09615384615384616
21,0.015625,0.0,3.0,0.046511627906976744
